0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:27 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:27 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:27 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:44 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:44 -0500] "OPTIONS /AuthenticationApplication/api/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:44 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:44 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:49:44 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:51:21 -0500] "OPTIONS /AuthenticationApplication/api/admin/becca HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:51:21 -0500] "PUT /AuthenticationApplication/api/admin/becca HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:51:24 -0500] "PUT /AuthenticationApplication/api/admin/becca HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:51:30 -0500] "PUT /AuthenticationApplication/api/admin/becca HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:52:14 -0500] "PUT /AuthenticationApplication/api/admin/becca HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:54:26 -0500] "OPTIONS /AuthenticationApplication/api/teacher/students/4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:54:26 -0500] "PUT /AuthenticationApplication/api/teacher/students/4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:24 -0500] "OPTIONS /AuthenticationApplication/api/teacher/remove-students/4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:24 -0500] "DELETE /AuthenticationApplication/api/teacher/remove-students/4 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:48 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:48 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:48 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:48 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:53 -0500] "OPTIONS /AuthenticationApplication/api/teacher/students/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:56:53 -0500] "PUT /AuthenticationApplication/api/teacher/students/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:36 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:36 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:36 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:36 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:44 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:44 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:44 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:11:57:44 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:11 -0500] "OPTIONS /AuthenticationApplication/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:12 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 195
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:12 -0500] "OPTIONS /AuthenticationApplication/api/admin HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:12 -0500] "GET /AuthenticationApplication/api/admin/teacher HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:12 -0500] "GET /AuthenticationApplication/api/admin HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:12 -0500] "GET /AuthenticationApplication/api/teacher/students HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:14 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:16 -0500] "OPTIONS /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:16 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:24 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:24 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:11 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:16 -0500] "OPTIONS /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:16 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:03:33 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:04:58 -0500] "OPTIONS /AuthenticationApplication/register HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:04:58 -0500] "POST /AuthenticationApplication/register HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:03 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:03 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:12 -0500] "OPTIONS /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:12 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:38 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:05:39 -0500] "GET /AuthenticationApplication/api/scenario/1 HTTP/1.1" 200 1619
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:31 -0500] "POST /AuthenticationApplication/login HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:31 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:41 -0500] "OPTIONS /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:41 -0500] "GET /AuthenticationApplication/api/scenario/2 HTTP/1.1" 200 1587
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:51 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:55 -0500] "OPTIONS /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:07:55 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:08:06 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:09:15 -0500] "GET /AuthenticationApplication/api/scenario/3 HTTP/1.1" 200 1552
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:09:31 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [19/Dec/2019:12:10:16 -0500] "GET /AuthenticationApplication/api/scenario HTTP/1.1" 200 462
